projects,slice,psnr-rec-#1,ssim-rec-#1,mse-rec-#1,psnr-rec-#2,ssim-rec-#2,mse-rec-#2
mcVFA-af8-simple-CGSENSE,0,24.62793757080016,0.6125604991736822,1.105185447158874e-06,27.94305961164362,0.7727395508115887,2.68498524746974e-06
mcVFA-af8-simple-CGSENSE,1,24.694407447728253,0.6172890770375974,1.0883991308219265e-06,28.198946186152657,0.776957146230042,2.5313561309303623e-06
mcVFA-af8-simple-CGSENSE,2,24.507028108541906,0.6152054357692568,1.136386572397896e-06,28.064136319005023,0.7737554112517834,2.6111642910109367e-06
mcVFA-af8-simple-CGSENSE,3,24.15571059830522,0.6119370841272153,1.2321337408138788e-06,27.683591057618663,0.7692555438943506,2.8502879558800487e-06
mcVFA-af8-simple-CGSENSE,4,24.123946468428862,0.6129153227386269,1.2411785519361729e-06,27.533281970829222,0.7692831135780476,2.9506632017728407e-06
mcVFA-af8-simple-CGSENSE,5,24.197162119761074,0.6090427207447328,1.2204295671836007e-06,27.46330644590666,0.7680914375189691,2.9985908440721687e-06
mcVFA-af8-simple-CGSENSE,6,24.510814543047907,0.6089850664486084,1.135396246354503e-06,27.618245401951576,0.7747686975440383,2.893498731282307e-06
mcVFA-af8-simple-CGSENSE,7,24.716962145064233,0.6167522994392687,1.0827612868524739e-06,27.737966708094305,0.7829536378640178,2.8148238016001415e-06
mcVFA-af8-simple-CGSENSE,8,24.701682034159415,0.6132697566904984,1.0865776403079508e-06,27.633821557606314,0.7808845454221964,2.8831398140027886e-06
mcVFA-af8-simple-CGSENSE,9,24.7995683388545,0.6123896566732573,1.062360979631194e-06,27.578283993077733,0.7806398177290782,2.920246060966747e-06
mcVFA-af8-simple-CGSENSE,10,24.77026441384199,0.6076712687419187,1.0695534911064897e-06,27.765058258225043,0.7800527151896041,2.7973192118224688e-06
mcVFA-af8-simple-CGSENSE,11,24.672780201502093,0.6053364987470242,1.0938326795439934e-06,27.79010759808112,0.7779994879813791,2.7812311600428075e-06
mcVFA-af8-simple-CGSENSE,12,24.727788576948086,0.6067512803660556,1.0800654308695812e-06,27.760858646317743,0.7772053646765947,2.800025413307594e-06
mcVFA-af8-simple-CGSENSE,13,24.755472496609173,0.6049393588817212,1.0732024975368404e-06,27.639237869743475,0.7745992035966516,2.8795461730624083e-06
mcVFA-af8-simple-CGSENSE,14,24.61426972776621,0.6020207350145336,1.1086691529271775e-06,27.67133948127235,0.775276730156064,2.8583401672221953e-06
mcVFA-af8-simple-CGSENSE,15,24.621499355847632,0.5987683353372524,1.1068250387324952e-06,27.67917316741184,0.7720062379388809,2.853189016605029e-06
mcVFA-af8-simple-CGSENSE,16,24.680922021710465,0.5978513411104605,1.0917839290414122e-06,27.660714992230766,0.7652311165094674,2.865341230062768e-06
mcVFA-af8-simple-CGSENSE,17,24.549200274711552,0.5899388157237068,1.1254051059950143e-06,27.62761026356766,0.7609592296923697,2.8872661914647324e-06
mcVFA-af8-simple-CGSENSE,18,24.51827694673176,0.5924621850247048,1.133447085521766e-06,27.73656704626412,0.7624372792398035,2.81573102256516e-06
