projects,slice,nrmse-rec-t1-all,nrmse-rec-t1-under 1000 msec
mcVFA-af4-simple-CGSENSE,0,0.036701377,0.015623269
mcVFA-af4-simple-CGSENSE,1,0.03583619,0.01576917
mcVFA-af4-simple-CGSENSE,2,0.033840615,0.01669783
mcVFA-af4-simple-CGSENSE,3,0.03674596,0.016903577
mcVFA-af4-simple-CGSENSE,4,0.037964117,0.017270386
mcVFA-af4-simple-CGSENSE,5,0.039318167,0.017215822
mcVFA-af4-simple-CGSENSE,6,0.03679086,0.017521951
mcVFA-af4-simple-CGSENSE,7,0.04003416,0.015870644
mcVFA-af4-simple-CGSENSE,8,0.03799954,0.01658721
mcVFA-af4-simple-CGSENSE,9,0.040647093,0.016793152
mcVFA-af4-simple-CGSENSE,10,0.03630846,0.01721384
mcVFA-af4-simple-CGSENSE,11,0.036648184,0.01722408
mcVFA-af4-simple-CGSENSE,12,0.04018516,0.017786238
mcVFA-af4-simple-CGSENSE,13,0.04225322,0.019502686
mcVFA-af4-simple-CGSENSE,14,0.043819062,0.019302247
mcVFA-af4-simple-CGSENSE,15,0.044962008,0.018999828
mcVFA-af4-simple-CGSENSE,16,0.04184162,0.019232403
mcVFA-af4-simple-CGSENSE,17,0.04407766,0.01996094
mcVFA-af4-simple-CGSENSE,18,0.04267459,0.019889541
mcVFA-af4-simple-CGSENSE,19,0.0476377,0.019427514
mcVFA-af4-simple-CGSENSE,20,0.0449769,0.018724848
mcVFA-af4-simple-CGSENSE,21,0.050569233,0.018765932
mcVFA-af4-simple-CGSENSE,22,0.04566744,0.018736802
mcVFA-af4-simple-CGSENSE,23,0.047378145,0.01890053
mcVFA-af4-simple-CGSENSE,24,0.050373785,0.018412681
mcVFA-af4-simple-CGSENSE,25,0.05039414,0.018262392
mcVFA-af4-simple-CGSENSE,26,0.0515468,0.019259304
mcVFA-af4-simple-CGSENSE,27,0.049181443,0.018889096
mcVFA-af4-simple-CGSENSE,28,0.054079257,0.019533884
mcVFA-af4-simple-CGSENSE,29,0.050604265,0.018678676
mcVFA-af4-simple-CGSENSE,30,0.04757916,0.01757226
mcVFA-af4-simple-CGSENSE,31,0.04775465,0.016952774
mcVFA-af4-simple-CGSENSE,32,0.045742836,0.016816609
mcVFA-af4-simple-CGSENSE,33,0.0466793,0.01687103
mcVFA-af4-simple-CGSENSE,34,0.0434178,0.016124353
mcVFA-af4-simple-CGSENSE,35,0.04313303,0.016489891
mcVFA-af4-simple-CGSENSE,36,0.04111896,0.01553677
