projects,slice,nrmse-rec-t2-all,nrmse-rec-t2-under 100 msec
mcMSE-af8-CGSENSE,0,0.12465112921457588,0.07761700439155958
mcMSE-af8-CGSENSE,1,0.12343031843212807,0.06690711652630262
mcMSE-af8-CGSENSE,2,0.11629165330665715,0.058415989343344736
mcMSE-af8-CGSENSE,3,0.12610683989569113,0.05714810551341358
mcMSE-af8-CGSENSE,4,0.1477658772649088,0.05210963212694933
mcMSE-af8-CGSENSE,5,0.13788920363138943,0.05362612320342226
mcMSE-af8-CGSENSE,6,0.13326103780123788,0.051396924799551325
mcMSE-af8-CGSENSE,7,0.14003003221002663,0.05037968244174186
mcMSE-af8-CGSENSE,8,0.141882335482214,0.053290010402106715
mcMSE-af8-CGSENSE,9,0.14305371020868898,0.05316791617004375
mcMSE-af8-CGSENSE,10,0.14234199704864878,0.051422455732168894
mcMSE-af8-CGSENSE,11,0.14679817004432075,0.05124127451087586
mcMSE-af8-CGSENSE,12,0.1398925923839048,0.0504304737255522
mcMSE-af8-CGSENSE,13,0.13370944756835962,0.046801044886172705
mcMSE-af8-CGSENSE,14,0.13611577615657647,0.04849491822261944
mcMSE-af8-CGSENSE,15,0.14131751901702516,0.04692018386043221
mcMSE-af8-CGSENSE,16,0.14717835690198927,0.049842511500280996
mcMSE-af8-CGSENSE,17,0.14781589470553066,0.05318708298869143
mcMSE-af8-CGSENSE,18,0.1494485799587055,0.05294765222602572
mcMSE-af8-CGSENSE,19,0.14196762964324958,0.05259494413395365
mcMSE-af8-CGSENSE,20,0.15364196336724087,0.051581127259225756
mcMSE-af8-CGSENSE,21,0.15679846015792956,0.04522194597503887
mcMSE-af8-CGSENSE,22,0.162873086086544,0.05221780032098904
mcMSE-af8-CGSENSE,23,0.16378127931540634,0.06428576677507188
mcMSE-af8-CGSENSE,24,0.18166496059382148,0.05996101368654382
mcMSE-af8-CGSENSE,25,0.16287141886358186,0.05560841767721613
mcMSE-af8-CGSENSE,26,0.15690672196967978,0.045865068706071266
mcMSE-af8-CGSENSE,27,0.15328496221443216,0.04695847856138351
mcMSE-af8-CGSENSE,28,0.15180724069548074,0.04984569235950482
mcMSE-af8-CGSENSE,29,0.1597991492107467,0.053643905245762936
mcMSE-af8-CGSENSE,30,0.14514910793189817,0.05291442879960289
mcMSE-af8-CGSENSE,31,0.14285197071436925,0.05212936543941059
mcMSE-af8-CGSENSE,32,0.14719526336779473,0.053013641954635614
mcMSE-af8-CGSENSE,33,0.1329344060709093,0.05363343502553916
mcMSE-af8-CGSENSE,34,0.14213192566990152,0.054036398322988954
mcMSE-af8-CGSENSE,35,0.14472794577776166,0.055646951077163664
mcMSE-af8-CGSENSE,36,0.14071017491370488,0.06497706755490089
mcMSE-af8-CGSENSE,37,0.13885752173689772,0.06929092558606537
mcMSE-af8-CGSENSE,38,0.1339628948769736,0.06715558893976566
mcMSE-af8-CGSENSE,39,0.1328791313494505,0.07679249566264278
mcMSE-af8-CGSENSE,40,0.1441214385492307,0.060078081107175066
mcMSE-af8-CGSENSE,41,0.1362370171078209,0.055823786294262934
mcMSE-af8-CGSENSE,42,0.1470776305189313,0.05094034261004031
mcMSE-af8-CGSENSE,43,0.14984542156250286,0.052903282132561
mcMSE-af8-CGSENSE,44,0.15681722214706065,0.05434977617571012
mcMSE-af8-CGSENSE,45,0.1654456513548956,0.051906954319423916
mcMSE-af8-CGSENSE,46,0.1668178610701938,0.04842324454652431
mcMSE-af8-CGSENSE,47,0.16963502112268328,0.05240439004047851
mcMSE-af8-CGSENSE,48,0.1652372122649489,0.052339641911744124
mcMSE-af8-CGSENSE,49,0.16503928521898803,0.05878500651996936
mcMSE-af8-CGSENSE,50,0.1702578814251016,0.0587163255573856
mcMSE-af8-CGSENSE,51,0.16098834366390605,0.05808362061996315
mcMSE-af8-CGSENSE,52,0.16005752906432438,0.06211906017604863
mcMSE-af8-CGSENSE,53,0.1524378731655073,0.05745686701985938
mcMSE-af8-CGSENSE,54,0.14129691698090793,0.05455218733825386
mcMSE-af8-CGSENSE,55,0.15656539960862947,0.05467750083571348
mcMSE-af8-CGSENSE,56,0.16380599746975613,0.05758459975016535
mcMSE-af8-CGSENSE,57,0.16174623302193583,0.05395820648655734
mcMSE-af8-CGSENSE,58,0.16728874346413328,0.0591884741449952
mcMSE-af8-CGSENSE,59,0.1650063297445255,0.05956281892355073
mcMSE-af8-CGSENSE,60,0.16942153101898208,0.057255415503404204
mcMSE-af8-CGSENSE,61,0.1585859692923302,0.056134235454030235
mcMSE-af8-CGSENSE,62,0.15976082489846957,0.05633014415959141
mcMSE-af8-CGSENSE,63,0.16366907827156896,0.061461064811350226
mcMSE-af8-CGSENSE,64,0.17118864799391742,0.06606921258143104
mcMSE-af8-CGSENSE,65,0.20324388827233894,0.0646811170267435
mcMSE-af8-CGSENSE,66,0.20404187505155008,0.06636369843369776
mcMSE-af8-CGSENSE,67,0.19142229085548879,0.07084056527652077
mcMSE-af8-CGSENSE,68,0.15603773126400636,0.05910854328307232
mcMSE-af8-CGSENSE,69,0.14938337375024022,0.05434221189676913
mcMSE-af8-CGSENSE,70,0.14390305472271256,0.049439928971861315
mcMSE-af8-CGSENSE,71,0.14095169455231374,0.04926684748318166
mcMSE-af8-CGSENSE,72,0.1513061030305133,0.05240796524722095
mcMSE-af8-CGSENSE,73,0.15972918436867922,0.05414714528870527
mcMSE-af8-CGSENSE,74,0.16836243555320046,0.06012712381877605
mcMSE-af8-CGSENSE,75,0.1669573278447347,0.06439736493600506
mcMSE-af8-CGSENSE,76,0.16302393187533148,0.06298188912876093
mcMSE-af8-CGSENSE,77,0.1600060322089724,0.06523133298037545
mcMSE-af8-CGSENSE,78,0.153341163649303,0.06913462445230474
mcMSE-af8-CGSENSE,79,0.15248839595234567,0.07313598245080108
mcMSE-af8-SL,0,0.049149230414197234,0.01234165155111486
mcMSE-af8-SL,1,0.04620007432769782,0.011220082990519565
mcMSE-af8-SL,2,0.037447138067042446,0.011198632356122052
mcMSE-af8-SL,3,0.02755478828232439,0.009964257559595523
mcMSE-af8-SL,4,0.03509429269789035,0.00872729310490318
mcMSE-af8-SL,5,0.020861490425185987,0.008619183946782542
mcMSE-af8-SL,6,0.022894419892944846,0.008553144162709083
mcMSE-af8-SL,7,0.018422387642423838,0.009674315673317084
mcMSE-af8-SL,8,0.03144555868213107,0.009446929282180187
mcMSE-af8-SL,9,0.02549644449567955,0.007791345385217055
