projects,slice,psnr-rec-#0,psnr-rec-#1,psnr-rec-#2,psnr-rec-#3,psnr-rec-#4,psnr-rec-#5,psnr-rec-#6,psnr-rec-#7,psnr-rec-#8,psnr-rec-#9,psnr-rec-#10,psnr-rec-#11,psnr-rec-#12,psnr-rec-#13,psnr-rec-#14,psnr-rec-#15,ssim-rec-#0,ssim-rec-#1,ssim-rec-#2,ssim-rec-#3,ssim-rec-#4,ssim-rec-#5,ssim-rec-#6,ssim-rec-#7,ssim-rec-#8,ssim-rec-#9,ssim-rec-#10,ssim-rec-#11,ssim-rec-#12,ssim-rec-#13,ssim-rec-#14,ssim-rec-#15,mse-rec-#0,mse-rec-#1,mse-rec-#2,mse-rec-#3,mse-rec-#4,mse-rec-#5,mse-rec-#6,mse-rec-#7,mse-rec-#8,mse-rec-#9,mse-rec-#10,mse-rec-#11,mse-rec-#12,mse-rec-#13,mse-rec-#14,mse-rec-#15
mcMSE-af8-CGSENSE,10,23.404133125985027,22.175596424175858,22.00762244688606,22.19658971883133,22.292941284254773,22.83819349790368,21.66837894203308,22.25504323088975,20.371796683084092,22.028858918079056,21.62424176506879,21.85333271535818,22.04242755545133,21.198418452752456,20.422726126366886,20.413475884719368,0.7468905221991237,0.7400638660017589,0.7500063332074983,0.7593734236559416,0.7649847082889116,0.7725308082610359,0.7479308063045536,0.785922460555533,0.7165500395464928,0.7680610001929822,0.7474694088405364,0.7596638561880961,0.7527405094117388,0.7367101515834524,0.7110146316725618,0.7286588696324587,4.672516297432594e-06,5.864225840923609e-06,5.7459769777779e-06,5.2201417020114604e-06,4.865528353548143e-06,4.055419594806153e-06,5.0307262426940724e-06,4.177378286840394e-06,6.063444743631408e-06,3.888279934471939e-06,4.032159267808311e-06,3.647770881798351e-06,3.2893094612518325e-06,3.7555835206148913e-06,4.2949968701577745e-06,4.080968210473657e-06
mcMSE-af8-CGSENSE,11,23.58504860705938,22.26973647892963,22.07401803838352,22.218656436840046,22.27329110375816,22.933777356037893,21.64269771543147,22.25343250009331,20.33710109748256,22.01581976061183,21.52804753155941,21.782811204460483,21.891772411913337,21.094974163049574,20.318940841153626,20.25178559143931,0.7542702806289312,0.7475449948476849,0.756402390917982,0.7651105055040892,0.768897736518735,0.7769313232552371,0.7521514620721166,0.7891568576435491,0.7194794503942697,0.7734763049879,0.7502088654956044,0.7610302344307779,0.7545997462214432,0.7400676304264693,0.7137550811021878,0.726455695712882,4.481869837036356e-06,5.738477284467081e-06,5.6587996368762106e-06,5.193684955884237e-06,4.887593149760505e-06,3.967139036831213e-06,5.060562671133084e-06,4.178928065812215e-06,6.112079063314013e-06,3.899971943610581e-06,4.122466179978801e-06,3.7074876217957353e-06,3.4054166917485418e-06,3.846111212624237e-06,4.398872988531366e-06,4.235768756188918e-06
mcMSE-af8-CGSENSE,12,23.573390217679353,22.163992197212178,21.967159905512958,22.090621298248898,22.130543346045116,22.889400281989833,21.52228071954117,22.200761565631353,20.24538840148631,21.93178994682606,21.432062770651086,21.773283038504374,21.723740296023742,20.96769460991991,20.1886953106673,20.272525984412443,0.7576194623916973,0.7477746234245232,0.7580220780020742,0.7634200012812192,0.7648600344075928,0.7780353101204401,0.754280799320525,0.7893320174905905,0.7210884181406053,0.7725843376008037,0.751733873924811,0.7640890840026475,0.7519432240285696,0.7381313872103877,0.7112992956956558,0.7302120572486785,4.493917913350742e-06,5.879915988771245e-06,5.799761311209295e-06,5.349080311134458e-06,5.0509124775999226e-06,4.0078839447232895e-06,5.202840384299634e-06,4.229917976772413e-06,6.242524250410497e-06,3.976165316998959e-06,4.214592536300188e-06,3.7156307826080592e-06,3.539757017279044e-06,3.960497906518867e-06,4.532793354883324e-06,4.215588432998629e-06
mcMSE-af8-CGSENSE,13,23.652022470789348,22.224451800593805,22.035459553076247,22.113606436526965,22.155601660149035,22.97359545786151,21.586711107936026,22.174651663539507,20.279938438752477,21.966000694330393,21.475231526881842,21.76733959810608,21.791542328446674,21.015956169157015,20.239064949163023,20.328671637213482,0.7629034176457854,0.7517391093677485,0.7639020674514314,0.7643938127286779,0.7647765707626012,0.781748216089117,0.7532633596470365,0.7894316335225394,0.7206275236277055,0.7734154140959895,0.7477165366590933,0.7645589214417534,0.7535405169546122,0.7421697199365525,0.7106894054125387,0.7284074746285025,4.413283932080958e-06,5.798626716568833e-06,5.709264769393485e-06,5.320845048117917e-06,5.021853212383576e-06,3.930932962248335e-06,5.126222731632879e-06,4.255425665178336e-06,6.193059107317822e-06,3.944966920244042e-06,4.1729072108864784e-06,3.720718950717128e-06,3.484923581709154e-06,3.916729838238098e-06,4.480525603867136e-06,4.161440301686525e-06
mcMSE-af8-CGSENSE,14,23.68534428315826,22.222170923546397,22.008430473328836,22.03925348555917,22.064354078093906,22.88497330344207,21.493643487306077,22.00643985799203,20.163916352498795,21.896516567108378,21.351016013441175,21.65422325032724,21.811693510370084,20.941432312297998,20.1556053319537,20.23696094348307,0.7619515137074295,0.74985754610144,0.763062738883519,0.7611864589617706,0.7657948892431566,0.7817026413986916,0.7504124542990745,0.7858903259213115,0.7205354264704944,0.7713492106767178,0.7454551878306237,0.7640257407539939,0.7575020690511144,0.7410913503157663,0.7087702571702273,0.7300096495937952,4.379552137834253e-06,5.801673069072422e-06,5.744907866755966e-06,5.412724021880422e-06,5.128481006977381e-06,4.011971668660408e-06,5.237261120782932e-06,4.423481186677236e-06,6.360737188515486e-06,4.008591531601269e-06,4.293982328817947e-06,3.818901859631296e-06,3.468791192062781e-06,3.984519935329445e-06,4.567461473925505e-06,4.250252459314652e-06
mcMSE-af8-CGSENSE,15,23.712070920482265,22.161735915501232,21.992019844683128,22.071457538506216,22.12405799984909,22.906718433601476,21.57269475105703,22.079191667926693,20.174605080238557,22.052672976214115,21.36941998185035,21.70927818192338,21.93231389933498,21.069755170102642,20.22466418613867,20.32080209710273,0.7594886198875253,0.753987118339038,0.7662763757120641,0.7647702130705993,0.7682057533146291,0.7795807288210187,0.7547374254665631,0.7912527487942609,0.7229205662119533,0.7785203017186969,0.7506251471182372,0.7686803254336249,0.7565239532378227,0.7492999226033408,0.711141532250208,0.7367681157817086,4.352682481112424e-06,5.882971436221851e-06,5.766657523054164e-06,5.3727358135802206e-06,5.058460374129936e-06,3.991934136138298e-06,5.142793725099182e-06,4.34999719800544e-06,6.345101155602606e-06,3.867017767333891e-06,4.275824721844401e-06,3.7707959563704208e-06,3.3737749163265107e-06,3.868510248139501e-06,4.495407665672246e-06,4.168987743469188e-06
mcMSE-af8-CGSENSE,16,23.683870223137035,22.085652603112663,21.943349912726028,22.006306811929512,22.102069647908912,22.913827404945813,21.500482334253803,22.066722539227438,20.05235426606035,22.02668833731234,21.267777498527728,21.711978592613107,21.84720215674759,20.873965173590324,20.13135535581164,20.264141144043265,0.7593719652834768,0.75279095427224,0.7645618038958512,0.7645399824852758,0.7701466968425138,0.7810399050212546,0.7553951441762816,0.7958425271357671,0.723372785586224,0.7800708371378174,0.7497140997576486,0.7760893015189995,0.7579079584994369,0.7439886772218617,0.7106014404630553,0.7415365014421704,4.381038706924301e-06,5.986942142044427e-06,5.831645921716699e-06,5.453942776512122e-06,5.084136319055688e-06,3.98540487367427e-06,5.229020644037519e-06,4.362504569144221e-06,6.526249308080878e-06,3.890223979396978e-06,4.377076493256027e-06,3.7684519611502765e-06,3.440545242483495e-06,4.04690217692405e-06,4.5930369196867105e-06,4.223735686537111e-06
mcMSE-af8-CGSENSE,17,23.75180922465468,22.055834057341155,21.84682538261294,21.92218692440621,22.017077810671204,22.861953982247556,21.37032847840328,21.988739495539335,19.96919133051149,21.972972183892416,21.177893984024934,21.652701148943425,21.800176891826432,20.744905518756596,19.981894039581036,20.13177818406941,0.7598120440960989,0.7529172828387353,0.7626432117820074,0.7624805183245591,0.7688488550688088,0.784641398673221,0.7533420380372957,0.7977285949177519,0.725532841167802,0.7804179013885483,0.7549587213523339,0.7790899310217257,0.7600948554962426,0.744554639984239,0.7108854764336935,0.7410363956016269,4.3130371523147915e-06,6.028190000506584e-06,5.962709110463038e-06,5.560611498367507e-06,5.184613655728754e-06,4.0332934077014215e-06,5.388101271819323e-06,4.441546479938552e-06,6.652424417552538e-06,3.9386395656038076e-06,4.468610313779209e-06,3.820240635832306e-06,3.478001872281311e-06,4.1689695535751525e-06,4.753856956085656e-06,4.354446900833864e-06
mcMSE-af8-CGSENSE,18,23.78998235967522,22.053271858451513,21.88460269599642,21.986689600162844,22.071350996773237,22.942482122627226,21.453779657560986,22.105601573927792,20.012141402001436,22.06598687118546,21.291304192298757,21.69395580791396,21.902992085594928,20.887985932770547,20.107355304817702,20.20125857009189,0.766196251552457,0.759312540412822,0.7693921913865293,0.771525379481297,0.7746669440304216,0.7874462924835738,0.7666582037415481,0.8027594275198048,0.7306622613955212,0.7861774408098757,0.7633824544048659,0.7788484942710973,0.7667907342342506,0.7554502022210579,0.7222342260982167,0.7455626864428129,4.275292667443864e-06,6.0317470342852175e-06,5.9110666370543186e-06,5.478634193423204e-06,5.1202250688220374e-06,3.959195510105928e-06,5.285554834699724e-06,4.32362458013813e-06,6.586958988918923e-06,3.855180693790317e-06,4.353428266767878e-06,3.7841227822354995e-06,3.396630290808389e-06,4.0338582039112225e-06,4.618488674168475e-06,4.285337126930244e-06
mcMSE-af8-CGSENSE,19,23.925551876475026,22.186387610888538,22.021236825416036,22.130212689400715,22.23358191377345,23.029981473215,21.552942026099032,22.164317667139134,20.107380383877647,22.120633212833294,21.37687537594388,21.743325001723726,21.98786771537658,20.970278966187582,20.175509730572486,20.171076737705363,0.7714061111769932,0.7625453598824145,0.7749215665941714,0.7775255253355917,0.7798158318520716,0.795195692709806,0.7711867578687923,0.8079554023484159,0.736092962699607,0.7906767404894307,0.768894957415157,0.7837817725380207,0.7722094594983603,0.7600941345588066,0.726625447181358,0.7476798976020034,4.143897058384027e-06,5.84967256145319e-06,5.727993084292393e-06,5.300538759911433e-06,4.93248717248207e-06,3.880225904140389e-06,5.1662377700267825e-06,4.265562893124297e-06,6.444081918743905e-06,3.806975655606948e-06,4.268490556569304e-06,3.7413501559058204e-06,3.3308933780062944e-06,3.9581418604939245e-06,4.546576292341342e-06,4.315222213335801e-06
