projects,slice,nrmse-rec-t1-all,nrmse-rec-t1-under 1000 msec
mcVFA-af8-simple-CGSENSE,0,0.07991696,0.03435984
mcVFA-af8-simple-CGSENSE,1,0.0790614,0.033024825
mcVFA-af8-simple-CGSENSE,2,0.08301181,0.03373477
mcVFA-af8-simple-CGSENSE,3,0.08618062,0.035842836
mcVFA-af8-simple-CGSENSE,4,0.08614226,0.038160764
mcVFA-af8-simple-CGSENSE,5,0.088834725,0.03862686
mcVFA-af8-simple-CGSENSE,6,0.08694465,0.03634295
mcVFA-af8-simple-CGSENSE,7,0.08830723,0.03499909
mcVFA-af8-simple-CGSENSE,8,0.09390832,0.03767312
mcVFA-af8-simple-CGSENSE,9,0.092865564,0.039811954
mcVFA-af8-simple-CGSENSE,10,0.09886553,0.037198104
mcVFA-af8-simple-CGSENSE,11,0.09843309,0.03640575
mcVFA-af8-simple-CGSENSE,12,0.095829666,0.036082245
mcVFA-af8-simple-CGSENSE,13,0.11642992,0.041336704
mcVFA-af8-simple-CGSENSE,14,0.09627773,0.036768865
mcVFA-af8-simple-CGSENSE,15,0.09284156,0.0385595
mcVFA-af8-simple-CGSENSE,16,0.088941865,0.038152434
mcVFA-af8-simple-CGSENSE,17,0.08797015,0.04011634
mcVFA-af8-simple-CGSENSE,18,0.086192496,0.03919634
mcVFA-af8-simple-CGSENSE,19,0.08650098,0.03923343
mcVFA-af8-simple-CGSENSE,20,0.07968447,0.039630584
mcVFA-af8-simple-CGSENSE,21,0.13401227,0.040028904
mcVFA-af8-simple-CGSENSE,22,0.08571574,0.041087057
mcVFA-af8-simple-CGSENSE,23,0.08493745,0.04012277
mcVFA-af8-simple-CGSENSE,24,0.081523344,0.039095905
mcVFA-af8-simple-CGSENSE,25,0.082367815,0.03904684
mcVFA-af8-simple-CGSENSE,26,0.19295965,0.03792254
mcVFA-af8-simple-CGSENSE,27,0.08598942,0.03695548
mcVFA-af8-simple-CGSENSE,28,0.087253325,0.03637111
mcVFA-af8-simple-CGSENSE,29,0.083902955,0.03394689
mcVFA-af8-simple-CGSENSE,30,0.08044132,0.03552789
mcVFA-af8-simple-CGSENSE,31,0.082382835,0.034794245
mcVFA-af8-simple-CGSENSE,32,0.08790147,0.036123667
mcVFA-af8-simple-CGSENSE,33,0.090807915,0.037654124
mcVFA-af8-simple-CGSENSE,34,0.091734886,0.037659243
mcVFA-af8-simple-CGSENSE,35,0.08646865,0.05247892
mcVFA-af8-simple-CGSENSE,36,0.08467483,0.035651736
mcVFA-af8-simple-CGSENSE,37,0.08809284,0.036044434
mcVFA-af8-simple-CGSENSE,38,0.08935181,0.033997256
mcVFA-af8-simple-CGSENSE,39,0.09821563,0.033669267
mcVFA-af8-simple-CGSENSE,40,0.0994039,0.034537427
mcVFA-af8-simple-CGSENSE,41,0.09976213,0.03396737
mcVFA-af8-simple-CGSENSE,42,0.09806512,0.035864577
mcVFA-af8-simple-CGSENSE,43,0.093593664,0.03684984
mcVFA-af8-simple-CGSENSE,44,0.086069115,0.03631771
mcVFA-af8-simple-CGSENSE,45,0.08591149,0.036784414
mcVFA-af8-simple-CGSENSE,46,0.08449423,0.034296054
mcVFA-af8-simple-CGSENSE,47,0.08398643,0.04639489
mcVFA-af8-simple-CGSENSE,48,0.08125019,0.038141813
mcVFA-af8-simple-CGSENSE,49,0.34681526,0.03624344
mcVFA-af8-simple-CGSENSE,50,0.09092155,0.035169527
mcVFA-af8-simple-CGSENSE,51,0.093874715,0.033463188
mcVFA-af8-simple-CGSENSE,52,0.09142454,0.032575082
mcVFA-af8-simple-CGSENSE,53,0.08982819,0.03174368
mcVFA-af8-simple-CGSENSE,54,0.08491949,0.04228973
mcVFA-af8-simple-CGSENSE,55,0.08074791,0.03123746
mcVFA-af8-simple-CGSENSE,56,0.1108636,0.035215862
mcVFA-af8-simple-CGSENSE,57,0.0836778,0.0345704
mcVFA-af8-simple-CGSENSE,58,0.08187345,0.034098096
mcVFA-af8-simple-CGSENSE,59,0.07914628,0.034011144
mcVFA-af8-simple-CGSENSE,60,0.08070391,0.03483274
mcVFA-af8-simple-CGSENSE,61,0.08672718,0.034878224
mcVFA-af8-simple-CGSENSE,62,0.086436324,0.034984984
mcVFA-af8-simple-CGSENSE,63,0.08571714,0.035213243
mcVFA-af8-simple-CGSENSE,64,0.089817144,0.037272625
mcVFA-af8-simple-CGSENSE,65,0.086735435,0.036314707
mcVFA-af8-simple-CGSENSE,66,0.10157229,0.03997424
mcVFA-af8-simple-CGSENSE,67,0.09802271,0.0382825
mcVFA-af8-simple-CGSENSE,68,0.0986179,0.039592993
mcVFA-af8-simple-CGSENSE,69,0.09871528,0.039817855
mcVFA-af8-simple-CGSENSE,70,0.07991696,0.03435984
mcVFA-af8-simple-CGSENSE,71,0.0790614,0.033024825
mcVFA-af8-simple-CGSENSE,72,0.08301181,0.03373477
mcVFA-af8-simple-CGSENSE,73,0.08618062,0.035842836
mcVFA-af8-simple-CGSENSE,74,0.08614226,0.038160764
mcVFA-af8-simple-CGSENSE,75,0.088834725,0.03862686
mcVFA-af8-simple-CGSENSE,76,0.08694465,0.03634295
mcVFA-af8-simple-CGSENSE,77,0.08830723,0.03499909
mcVFA-af8-simple-CGSENSE,78,0.09390832,0.03767312
mcVFA-af8-simple-CGSENSE,79,0.092865564,0.039811954
mcVFA-af8-simple-CGSENSE,80,0.09886553,0.037198104
mcVFA-af8-simple-CGSENSE,81,0.09843309,0.03640575
mcVFA-af8-simple-CGSENSE,82,0.095829666,0.036082245
mcVFA-af8-simple-CGSENSE,83,0.11642992,0.041336704
mcVFA-af8-simple-CGSENSE,84,0.09627773,0.036768865
mcVFA-af8-simple-CGSENSE,85,0.09284156,0.0385595
mcVFA-af8-simple-CGSENSE,86,0.088941865,0.038152434
mcVFA-af8-simple-CGSENSE,87,0.08797015,0.04011634
mcVFA-af8-simple-CGSENSE,88,0.086192496,0.03919634
mcVFA-af8-simple-CGSENSE,89,0.08650098,0.03923343
mcVFA-af8-simple-CGSENSE,90,0.07968447,0.039630584
mcVFA-af8-simple-CGSENSE,91,0.13401227,0.040028904
mcVFA-af8-simple-CGSENSE,92,0.08571574,0.041087057
mcVFA-af8-simple-CGSENSE,93,0.08493745,0.04012277
mcVFA-af8-simple-CGSENSE,94,0.081523344,0.039095905
mcVFA-af8-simple-CGSENSE,95,0.082367815,0.03904684
mcVFA-af8-simple-CGSENSE,96,0.19295965,0.03792254
mcVFA-af8-simple-CGSENSE,97,0.08598942,0.03695548
mcVFA-af8-simple-CGSENSE,98,0.087253325,0.03637111
mcVFA-af8-simple-CGSENSE,99,0.083902955,0.03394689
mcVFA-af8-simple-CGSENSE,100,0.08044132,0.03552789
mcVFA-af8-simple-CGSENSE,101,0.082382835,0.034794245
mcVFA-af8-simple-CGSENSE,102,0.08790147,0.036123667
mcVFA-af8-simple-CGSENSE,103,0.090807915,0.037654124
mcVFA-af8-simple-CGSENSE,104,0.091734886,0.037659243
mcVFA-af8-simple-CGSENSE,105,0.08646865,0.05247892
mcVFA-af8-simple-CGSENSE,106,0.08467483,0.035651736
mcVFA-af8-simple-CGSENSE,107,0.08809284,0.036044434
mcVFA-af8-simple-CGSENSE,108,0.08935181,0.033997256
mcVFA-af8-simple-CGSENSE,109,0.09821563,0.033669267
mcVFA-af8-simple-CGSENSE,110,0.0994039,0.034537427
mcVFA-af8-simple-CGSENSE,111,0.09976213,0.03396737
mcVFA-af8-simple-CGSENSE,112,0.09806512,0.035864577
mcVFA-af8-simple-CGSENSE,113,0.093593664,0.03684984
mcVFA-af8-simple-CGSENSE,114,0.086069115,0.03631771
mcVFA-af8-simple-CGSENSE,115,0.08591149,0.036784414
mcVFA-af8-simple-CGSENSE,116,0.08449423,0.034296054
mcVFA-af8-simple-CGSENSE,117,0.08398643,0.04639489
mcVFA-af8-simple-CGSENSE,118,0.08125019,0.038141813
mcVFA-af8-simple-CGSENSE,119,0.34681526,0.03624344
mcVFA-af8-simple-CGSENSE,120,0.09092155,0.035169527
mcVFA-af8-simple-CGSENSE,121,0.093874715,0.033463188
mcVFA-af8-simple-CGSENSE,122,0.09142454,0.032575082
mcVFA-af8-simple-CGSENSE,123,0.08982819,0.03174368
mcVFA-af8-simple-CGSENSE,124,0.08491949,0.04228973
mcVFA-af8-simple-CGSENSE,125,0.08074791,0.03123746
mcVFA-af8-simple-CGSENSE,126,0.1108636,0.035215862
mcVFA-af8-simple-CGSENSE,127,0.0836778,0.0345704
